title,year,venue,type,url,relevance,score,matched_terms,why_it_matters,source,discovered_at
"MME-Emotion: A Holistic Evaluation Benchmark for Emotional Intelligence in Multimodal Large Language Models",2026,ICLR,conference,https://proceedings.iclr.cc/paper_files/paper/2026/hash/50d277e84b2bcbaadcd84548a87e8cc4-Abstract-Conference.html,A,999,"emotional intelligence;multimodal;benchmark","Large-scale multimodal benchmark for emotion understanding and causal/reasoning capability; evaluates 20 MLLMs.",manual seed,2026-09-21
"Consensus-Driven Multi-Agent Cognitive Reasoning for Enhancing the Emotional Intelligence of Large Language Models",2026,AAAI,conference,https://ojs.aaai.org/index.php/AAAI/article/view/38832,A,999,"emotional intelligence;multi-agent;framework","MACRo uses specialized agents and structured cognitive reasoning to improve LLM emotional intelligence.",manual seed,2026-09-21
"PERM: Psychology-grounded Empathetic Reward Modeling for Large Language Models",2026,ACL Findings,conference,https://aclanthology.org/2026.findings-acl.363/,A,999,"empathy;reward model;psychology","Psychology-grounded reward modeling based on Empathy Cycle theory; directly relevant to alignment and RL-based empathy tuning.",manual seed,2026-09-21
"At Your Own PACE: A Causal Framework for Evaluating EQ in LLMs",2026,ACL Findings,conference,https://aclanthology.org/2026.findings-acl.623/,A,999,"emotional intelligence;causal;evaluation","Causal framework for decomposed emotional-intelligence evaluation rather than a single aggregate EQ score.",manual seed,2026-09-21
"Persona-E²: A Human-Grounded Dataset for Personality-Shaped Emotional Responses to Textual Events",2026,ACL,conference,https://aclanthology.org/2026.acl-long.1350/,A,999,"personality;human-grounded;emotion","Human-grounded dataset linking Big Five/MBTI personality to reader-side emotional responses and appraisal shifts.",manual seed,2026-09-21
"Appraisal Theory-Informed Emotion Prediction",2026,LREC,conference,https://aclanthology.org/2026.lrec-1.887/,A,999,"appraisal;emotion transition;evaluation","Tests whether LLMs show human-like appraisal-driven affective reasoning and identifies stability bias in emotion shifts.",manual seed,2026-09-21
"Disentangling Emotion Understanding and Generation in Large Language Models",2026,WASSA,workshop,https://aclanthology.org/2026.wassa-1.14/,A,999,"emotion understanding;emotion generation;evaluation","Separates emotion understanding from generation and internal consistency, showing that competence is not monolithic.",manual seed,2026-09-21
"AEQ-Bench: Measuring Empathy of Omni-Modal Large Models",2026,ACL Findings,conference,https://aclanthology.org/2026.findings-acl.1813/,A,999,"empathy;omni-modal;benchmark","Evaluates empathy from audio+text and paralinguistic cues, broadening affective understanding beyond text.",manual seed,2026-09-21
"Sentient Agent as a Judge: Evaluating Higher-Order Social Cognition in Large Language Models",2026,ACL Findings,conference,https://aclanthology.org/2026.findings-acl.1905/,A,999,"social cognition;dynamic emotion;agent;evaluation","Agent-based evaluator simulates emotion trajectories and inner thoughts to assess higher-order social cognition.",manual seed,2026-09-21
"Who Generates More Empathetic Responses—Humans or LLMs? A Comparative Evaluation with Human and LLM Judges",2026,CoNLL,conference,https://aclanthology.org/2026.conll-main.21/,B,500,"empathy;human evaluation","Large human study comparing perceived empathy of human and LLM responses across 32 emotions.",manual seed,2026-09-21
"Emotional intelligence in large language models is fragmented across perception, cognition, and interaction",2026,arXiv,preprint,https://arxiv.org/abs/2605.24686,A,999,"emotional intelligence;psychometrics;benchmark","FACET uses the Mayer-Salovey-Caruso ability model and argues that LLM emotional intelligence fragments across perception, cognition and interaction.",manual seed,2026-09-21
"Personalized Emotional Intelligence in Generative AI through Symbolic Affective Reasoning",2026,arXiv,preprint,https://arxiv.org/abs/2607.10678,A,999,"personalization;symbolic affective reasoning","Hybrid symbolic/deep framework for understanding and steering personalized emotional responses with human experiments.",manual seed,2026-09-21
"E^2-LLM: Bridging Neural Signals and Interpretable Affective Analysis",2026,arXiv,preprint,https://arxiv.org/abs/2601.07877,B,500,"EEG;multimodal;emotion recognition","Connects EEG signals to LLM reasoning via cross-modal alignment and instruction tuning for interpretable affective analysis.",manual seed,2026-09-21
